WormBaseId GeneName ExprWtXXEmb FoldIncrease_sdc-2Mutant FoldIncrease_dpy-27Mut
WBGene00001824 hbl-1 12.9 1.6 1.9
WBGene00003903 pab-2 12.8 1.8 1.8
WBGene00002124 inx-2 12.5 1.5 1.5
WBGene00012261 lpr-3 12.4 1.7 1.7
WBGene00000149 apl-1 12.4 1.8 2.3
WBGene00044068 syd-9 12.2 1.6 2.2
WBGene00020216 trap-2 12.1 1.5 1.5
WBGene00004276 rab-14 12.0 1.9 1.5
WBGene00020921 W01C8.5 12.0 1.8 2.4
WBGene00004788 sft-4 11.9 1.9 1.5
WBGene00000899 daf-3 11.6 1.8 1.7
WBGene00006839 unc-115 11.6 1.8 2.5
WBGene00020848 T27B1.2 11.6 1.5 2.6
WBGene00000482 chd-3 11.5 1.6 1.5
WBGene00009793 F46F6.2 11.5 1.9 2.1
WBGene00004682 rsd-3 11.5 1.9 2.1
WBGene00004862 sma-9 11.5 1.6 2.7
WBGene00001331 erd-2 11.4 1.7 2.2
WBGene00006649 tth-1 11.3 1.9 1.7
WBGene00015676 C10E2.6 11.2 1.8 2.3
WBGene00004369 rig-1 11.2 1.9 2.8
WBGene00003602 nhr-3 11.2 1.9 2.9
WBGene00001441 fkh-9 11.1 1.8 2.4
WBGene00015494 C05E11.3 11.1 2.0 2.5
WBGene00010701 ent-2 11.0 1.7 1.7
WBGene00003087 lsy-2 10.9 1.9 1.9
WBGene00004949 sox-2 10.9 2.6 2.0
WBGene00006816 unc-84 10.9 1.9 2.0
WBGene00004829 sli-1 10.9 1.9 2.1
WBGene00009632 F42E11.2 10.8 1.8 1.8
WBGene00007955 C35C5.3 10.8 1.7 1.8
WBGene00010935 M163.1 10.8 2.0 2.0
WBGene00006410 nck-1 10.8 2.0 2.3
WBGene00007944 C34F6.10 10.8 1.9 3.3
WBGene00011880 T21B6.3 10.7 2.1 1.7
WBGene00001006 dlg-1 10.7 1.6 1.9
WBGene00017447 F14B8.5 10.7 1.9 2.3
WBGene00022500 lfi-1 10.7 2.3 2.6
WBGene00022861 dve-1 10.7 1.9 2.9
WBGene00016292 C31H2.1 10.7 2.5 3.9
WBGene00004727 sax-1 10.6 1.8 1.8
WBGene00011904 T21H8.1 10.6 1.9 2.2
WBGene00015926 C17H11.6 10.6 2.7 2.3
WBGene00044061 tag-236 10.5 2.2 2.2
WBGene00022613 ZC449.3 10.5 2.2 2.3
WBGene00002983 lgx-1 10.5 1.5 2.8
WBGene00006887 vav-1 10.5 2.3 2.9
WBGene00003407 mrp-1 10.4 1.5 1.8
WBGene00020732 T23E7.2 10.4 2.3 1.8
WBGene00019657 K11G12.6 10.4 1.6 1.8
WBGene00016067 C24H10.1 10.4 1.6 2.0
WBGene00006588 tnt-3 10.4 1.8 2.4
WBGene00003254 mig-23 10.4 1.9 2.9
WBGene00017891 rgl-1 10.4 1.9 3.0
WBGene00001124 dyf-8 10.4 1.9 3.3
WBGene00002123 inx-1 10.3 1.9 1.6
WBGene00018657 acl-4 10.3 1.9 1.9
WBGene00006757 unc-18 10.3 2.5 2.1
WBGene00006672 twk-18 10.3 2.1 4.5
WBGene00003600 nhr-1 10.2 2.4 2.3
WBGene00011763 T14B1.1 10.2 2.1 2.4
WBGene00004758 sek-1 10.2 2.7 2.5
WBGene00015295 acl-12 10.2 2.1 3.5
WBGene00017381 ddr-2 10.1 1.6 1.6
WBGene00010059 F54E4.3 10.1 1.9 1.7
WBGene00009930 F52D10.2 10.1 1.8 1.9
WBGene00007593 C14H10.3 10.1 1.8 2.3
WBGene00010117 F55F3.3 10.1 3.1 2.3
WBGene00017687 ets-4 10.1 2.3 3.2
WBGene00003986 pes-22 10.1 2.8 3.3
WBGene00002039 hum-6 10.0 1.7 1.9
WBGene00044698 K09F5.6 10.0 2.4 2.4
WBGene00000458 ceh-37 10.0 2.1 2.5
WBGene00016617 C43H6.4 10.0 1.8 2.7
WBGene00018607 F48E3.8 10.0 1.5 2.9
WBGene00006942 wrk-1 10.0 2.7 3.5
WBGene00001708 grk-1 9.9 2.1 1.8
WBGene00007591 C14H10.1 9.9 1.8 2.0
WBGene00021323 Y34B4A.7 9.9 1.5 2.1
WBGene00016490 C36E6.2 9.9 1.7 2.1
WBGene00007935 C34E11.2 9.9 2.0 2.3
WBGene00000803 csb-1 9.9 2.0 2.4
WBGene00000393 cdf-1 9.9 2.6 2.5
WBGene00006365 syg-1 9.9 2.0 3.0
WBGene00008951 F19C6.2 9.9 2.6 3.1
WBGene00008571 F08B12.1 9.9 2.4 3.1
WBGene00001032 dnj-14 9.8 2.5 2.2
WBGene00019611 K10B3.5 9.8 2.1 2.4
WBGene00000018 abl-1 9.8 2.2 3.0
WBGene00019102 F59C12.3 9.8 2.5 3.0
WBGene00010347 H01A20.2 9.7 1.7 1.6
WBGene00001484 fox-1 9.7 2.2 1.6
WBGene00022745 ZK470.2 9.7 2.6 1.9
WBGene00004749 sdn-1 9.7 3.8 2.0
WBGene00020673 T22B7.4 9.7 1.8 2.0
WBGene00018857 F55A4.5 9.7 1.7 2.0
WBGene00008977 F20D1.7 9.7 1.6 3.2
WBGene00009380 F34H10.3 9.7 2.5 3.5
WBGene00008924 F17E5.2 9.7 2.2 3.6
WBGene00004370 rig-3 9.7 2.5 4.8
WBGene00019365 K03E6.7 9.6 2.4 1.7
WBGene00010221 F57G12.1 9.6 1.6 1.9
WBGene00007666 C18B12.4 9.6 2.3 1.9
WBGene00010700 K09A9.1 9.6 2.4 2.3
WBGene00016106 C25F6.7 9.6 2.3 3.5
WBGene00007174 B0395.2 9.5 1.8 1.7
WBGene00008806 tag-289 9.5 2.0 1.8
WBGene00011642 T09B9.1 9.5 1.5 1.8
WBGene00018634 F49E7.2 9.5 1.6 2.0
WBGene00020633 T20F7.6 9.5 2.3 2.1
WBGene00019987 R09F10.3 9.5 2.4 2.1
WBGene00020510 T14G11.1 9.5 3.2 2.4
WBGene00044630 bus-17 9.5 2.4 2.5
WBGene00004719 sad-1 9.5 1.8 3.0
WBGene00003635 nhr-45 9.5 2.7 3.1
WBGene00019729 M02D8.3 9.4 1.7 1.5
WBGene00022199 Y71H10A.1 9.4 2.7 1.6
WBGene00001082 dpy-23 9.4 2.2 2.2
WBGene00001821 ham-2 9.4 1.7 3.0
WBGene00011444 T04F8.6 9.4 2.0 3.2
WBGene00007520 C11E4.6 9.4 2.5 3.4
WBGene00020919 set-19 9.4 1.7 3.7
WBGene00044724 R02E4.3 9.3 3.8 1.5
WBGene00000902 daf-6 9.3 1.7 1.6
WBGene00009259 F29G6.3 9.3 2.0 1.9
WBGene00007941 C34F6.7 9.3 1.6 2.1
WBGene00006412 nlg-1 9.3 1.8 2.5
WBGene00007266 C03A3.1 9.3 1.7 2.6
WBGene00010776 pix-1 9.3 2.5 3.1
WBGene00000277 cab-1 9.3 3.1 4.9
WBGene00016423 tag-275 9.2 1.7 1.8
WBGene00019780 M60.4 9.2 6.1 2.1
WBGene00020012 R11G1.6 9.2 1.8 2.4
WBGene00012073 T27A8.1 9.2 2.0 3.1
WBGene00009482 F36G3.1 9.1 1.6 1.6
WBGene00015751 C14A11.6 9.1 2.0 1.7
WBGene00006861 uvt-2 9.1 2.0 1.7
WBGene00010605 K06G5.1 9.1 1.5 1.8
WBGene00006742 unc-2 9.1 2.2 2.7
WBGene00006371 syn-1 9.1 2.7 3.1
WBGene00006896 ver-3 9.1 2.3 3.2
WBGene00003745 nlp-7 9.0 1.8 2.1
WBGene00007524 C11G6.3 9.0 2.3 2.2
WBGene00008940 F18H3.4 9.0 2.6 2.4
WBGene00020920 set-20 9.0 2.0 2.4
WBGene00016937 tag-294 9.0 2.0 2.4
WBGene00006646 tsp-20 9.0 2.1 2.6
WBGene00000103 akt-2 9.0 2.8 3.1
WBGene00000526 clc-5 9.0 2.2 3.3
WBGene00003245 mig-13 9.0 2.3 3.5
WBGene00019872 R04E5.9 8.9 2.4 1.6
WBGene00008749 F13E6.5 8.9 2.0 1.8
WBGene00009801 F47A4.5 8.9 3.4 1.8
WBGene00006637 tsp-11 8.9 1.8 1.8
WBGene00021059 W06B11.1 8.9 1.9 2.1
WBGene00006602 tps-1 8.9 3.3 2.4
WBGene00018702 F52E4.5 8.9 2.7 2.5
WBGene00020504 T14E8.1 8.9 2.1 2.6
WBGene00000406 cdk-4 8.9 2.6 2.8
WBGene00007877 C33A11.1 8.9 3.1 3.1
WBGene00006364 syd-2 8.9 1.8 3.3
WBGene00018175 F38B6.6 8.9 1.8 3.4
WBGene00000462 ceh-41 8.8 3.2 1.5
WBGene00006635 tsp-9 8.8 2.1 1.9
WBGene00016716 acs-17 8.8 1.5 2.1
WBGene00015141 ugt-46 8.8 1.8 2.5
WBGene00007668 C18B12.6 8.8 1.9 3.1
WBGene00019346 K02G10.5 8.8 1.8 3.4
WBGene00009800 rrc-1 8.8 1.9 3.4
WBGene00009552 F39B1.1 8.8 1.6 3.5
WBGene00000282 cah-4 8.7 1.6 1.5
WBGene00020158 T02C5.1 8.7 2.5 1.6
WBGene00003616 nhr-17 8.7 1.8 1.7
WBGene00020143 T01C8.2 8.7 2.4 1.7
WBGene00016188 sec-15 8.7 1.7 2.0
WBGene00044330 alr-1 8.7 2.0 2.2
WBGene00003885 osm-5 8.7 1.9 2.2
WBGene00001462 flp-19 8.7 2.0 2.7
WBGene00009234 F28H6.6 8.7 2.6 3.0
WBGene00018837 F54G2.1 8.7 3.5 3.0
WBGene00001490 frm-3 8.7 2.7 3.1
WBGene00002239 ksr-1 8.7 2.8 3.4
WBGene00003741 nlp-3 8.6 1.9 1.6
WBGene00010702 K09A9.4 8.6 1.7 2.4
WBGene00010553 K04C1.3 8.6 2.1 2.5
WBGene00016131 C26B9.1 8.6 1.6 3.0
WBGene00003623 nhr-25 8.6 2.1 3.2
WBGene00000047 acr-8 8.6 1.7 3.4
WBGene00018717 F52H2.5 8.5 1.8 1.7
WBGene00012443 Y15E3A.4 8.5 1.8 1.8
WBGene00007592 C14H10.2 8.5 1.6 1.9
WBGene00016102 C25F6.1 8.5 1.6 2.0
WBGene00000908 daf-12 8.5 2.6 2.1
WBGene00008206 set-6 8.5 1.6 2.1
WBGene00000222 atf-6 8.5 1.9 2.8
WBGene00001638 gly-13 8.5 2.4 2.9
WBGene00007772 egrh-1 8.5 2.7 3.1
WBGene00016898 C53C9.2 8.4 2.2 2.0
WBGene00003561 ncr-1 8.4 2.0 1.7
WBGene00006517 tag-172 8.4 1.6 2.0
WBGene00004789 sgk-1 8.4 1.9 2.0
WBGene00007956 C35C5.6 8.4 1.8 2.4
WBGene00001335 erp-1 8.4 2.2 2.5
WBGene00007940 C34F6.6 8.4 1.8 2.6
WBGene00017866 stn-2 8.4 1.8 2.6
WBGene00001116 dyc-1 8.4 2.3 2.8
WBGene00007943 C34F6.9 8.4 2.0 3.4
WBGene00016661 C45B2.6 8.3 1.7 1.6
WBGene00016620 C43H6.7 8.3 1.5 1.8
WBGene00017513 F16F9.1 8.3 1.7 1.8
WBGene00009617 F41E7.1 8.3 2.1 1.9
WBGene00015177 B0416.1 8.3 1.6 1.9
WBGene00003891 osm-11 8.3 3.2 2.1
WBGene00008926 F17H10.2 8.3 2.0 2.2
WBGene00010120 F55G7.2 8.2 2.0 1.5
WBGene00020426 T10H10.2 8.2 1.7 1.6
WBGene00003517 nac-1 8.2 1.6 1.6
WBGene00019848 R03G5.7 8.2 2.3 2.0
WBGene00020884 T28B4.1 8.2 2.3 2.2
WBGene00017421 F13B9.6 8.2 1.7 2.6
WBGene00002991 lin-2 8.2 2.2 2.8
WBGene00007652 C17G1.5 8.2 1.7 2.9
WBGene00004145 pqn-62 8.2 2.9 5.0
WBGene00008956 nekl-3 8.1 1.8 1.5
WBGene00006650 tts-1 8.1 10.0 1.7
WBGene00004238 ptr-24 8.1 1.8 1.8
WBGene00002975 lev-8 8.1 1.9 1.9
WBGene00020508 T14F9.2 8.1 1.9 1.9
WBGene00016345 C33E10.1 8.1 2.6 2.0
WBGene00018639 F49E10.1 8.1 1.7 2.3
WBGene00022412 Y102A11A.2 8.1 2.3 2.5
WBGene00020330 T07H6.1 8.1 2.1 2.7
WBGene00014215 obr-3 8.1 3.5 2.7
WBGene00009886 F49E2.2 8.1 1.9 3.2
WBGene00000524 clc-3 8.0 2.2 1.9
WBGene00021051 W05H9.4 8.0 1.9 2.1
WBGene00004036 plc-1 8.0 2.1 3.1
WBGene00015805 C15H9.11 7.9 1.9 1.6
WBGene00011154 R09A8.5 7.9 1.7 2.1
WBGene00019781 M60.6 7.9 2.3 2.2
WBGene00014294 C53C7.5 7.9 3.1 2.5
WBGene00020294 T06F4.1 7.9 3.0 2.8
WBGene00003368 mkk-4 7.8 2.2 1.6
WBGene00017427 F13D11.1 7.8 1.7 1.7
WBGene00006862 uvt-3 7.8 1.9 1.8
WBGene00020596 oga-1 7.8 2.0 2.1
WBGene00001608 R07B1.8 7.8 1.8 2.1
WBGene00003084 lst-2 7.8 2.0 2.2
WBGene00018689 F52D2.7 7.8 5.0 2.4
WBGene00001681 gpc-1 7.8 2.2 2.5
