WormBaseId Gene_Name ExprWtXXEmb FoldDecreaseXOEmb
WBGene00022219 Y73B3A.18 13.2 1.6
WBGene00004438 rpl-25.1 13.1 1.5
WBGene00003963 pdi-2 13.1 2.3
WBGene00002007 hsp-3 12.8 2.5
WBGene00000503 cht-1 12.8 1.5
WBGene00004423 rpl-11.2 12.5 1.5
WBGene00018519 F46H5.3 12.4 1.5
WBGene00001828 hch-1 12.4 1.6
WBGene00001854 hil-3 12.4 1.9
WBGene00002253 lbp-1 12.3 1.6
WBGene00000738 col-165 12.3 2.4
WBGene00015168 tag-320 12.3 1.5
WBGene00020366 T08G2.3 12.2 1.6
WBGene00006494 hke-4.2 12.2 1.6
WBGene00020738 T23F2.5 11.9 1.5
WBGene00020812 T25G12.5 11.8 1.8
WBGene00001065 dpy-3 11.7 2.2
WBGene00019760 calu-1 11.6 1.5
WBGene00006948 wrt-2 11.5 1.8
WBGene00001069 dpy-7 11.5 2.0
WBGene00006366 sym-1 11.5 2.4
WBGene00007350 C05G5.4 11.5 1.9
WBGene00017864 pcca-1 11.4 3.3
WBGene00006063 sto-1 11.4 1.9
WBGene00012158 ucr-2.1 11.3 1.5
WBGene00000210 asg-2 11.3 1.9
WBGene00007848 C31E10.7 11.3 1.6
WBGene00015781 C14F11.6 11.3 2.1
WBGene00012255 W04G3.1 11.2 1.7
WBGene00000040 aco-1 11.1 1.6
WBGene00011229 R11.4 11.1 2.4
WBGene00006584 tni-1 11.1 1.7
WBGene00002280 let-2 11.1 1.7
WBGene00008215 C49F8.3 11.0 1.7
WBGene00008975 F20D1.3 10.9 1.5
WBGene00022665 ZK154.1 10.8 2.4
WBGene00000157 aps-2 10.8 1.8
WBGene00003495 mup-2 10.7 1.6
WBGene00008973 F20D1.1 10.7 2.0
WBGene00008586 F08G12.2 10.7 1.5
WBGene00012257 lpr-4 10.6 1.9
WBGene00006321 sup-12 10.6 1.9
WBGene00001520 gas-1 10.6 2.0
WBGene00009812 F47B10.1 10.6 1.7
WBGene00002255 lbp-3 10.6 1.8
